PosX,PosY,PosZ,Orientation X,Orientation Y,Orientation Z,SessionID,PlayerID,DateTime,
23.67257,2.863151,10.61648,11.25245,141.2078,-4.352537E-07,79870,97833,21/12/2020 13:08:58,
24.31939,2.455151,9.919543,11.2529,139.3351,-8.705088E-07,79870,97833,21/12/2020 13:08:58,
24.96331,1.759151,9.207735,11.18745,135.8237,-4.351558E-07,79870,97833,21/12/2020 13:08:58,
25.53119,0.9591515,8.644344,11.14126,133.1018,-4.350865E-07,79870,97833,21/12/2020 13:08:59,
26.16578,0.03161711,8.403756,11.12614,130.589,4.35064E-07,79870,97833,21/12/2020 13:08:59,
27.17477,0.1877185,8.481834,11.11926,130.2617,0,79870,97833,21/12/2020 13:08:59,
28.16591,0.3884736,8.562819,11.11887,130.261,0,79870,97833,21/12/2020 13:08:59,
29.23619,0.5559927,8.638171,11.11878,131.628,0,79870,97833,21/12/2020 13:08:59,
30.3555,0.6022261,8.657108,12.23241,171.5033,-4.368039E-07,79870,97833,21/12/2020 13:08:59,
31.08742,0.6586682,7.957687,11.38788,205.592,-4.354597E-07,79870,97833,21/12/2020 13:09:00,
30.91551,0.67228,6.949675,10.48167,213.5562,4.341311E-07,79870,97833,21/12/2020 13:09:00,
30.32874,0.6056731,6.071575,10.29266,213.7884,-2.169343E-07,79870,97833,21/12/2020 13:09:00,
29.94178,0.4312639,5.149302,10.25306,213.7449,0,79870,97833,21/12/2020 13:09:00,
30.15141,0.2435237,4.142143,10.24476,213.0575,2.169015E-07,79870,97833,21/12/2020 13:09:00,
29.83295,0.189744,3.160819,10.24301,212.9359,-4.338006E-07,79870,97833,21/12/2020 13:09:00,
29.26352,0.1452216,2.266232,10.24265,211.6419,4.338E-07,79870,97833,21/12/2020 13:09:00,
28.7229,0.1240163,1.357014,10.24257,210.0018,-2.169E-07,79870,97833,21/12/2020 13:09:01,
28.22553,0.1059887,0.4265314,10.53845,204.5464,2.171055E-07,79870,97833,21/12/2020 13:09:01,
27.82835,0.1061816,-0.561238,10.80171,198.5051,-2.172935E-07,79870,97833,21/12/2020 13:09:01,
27.60863,0.8603209,-1.32184,10.84874,191.2405,4.346552E-07,79870,97833,21/12/2020 13:09:01,
27.50552,1.620321,-2.114385,10.68829,183.3179,0,79870,97833,21/12/2020 13:09:01,
27.47888,2.264321,-3.073838,10.61712,179.9644,4.343222E-07,79870,97833,21/12/2020 13:09:01,
27.49244,2.516321,-4.193735,10.59714,178.8592,0,79870,97833,21/12/2020 13:09:01,
27.51882,2.264322,-5.313422,12.5647,178.5952,-4.373611E-07,79870,97833,21/12/2020 13:09:01,
27.53666,1.894312,-6.250776,18.01594,180.0126,-8.977918E-07,79870,97833,21/12/2020 13:09:02,
27.95699,1.116852,-6.9037,23.50542,181.6305,0,79870,97833,21/12/2020 13:09:02,
28.48455,0.2368519,-7.504655,30.38519,188.0286,9.897165E-07,79870,97833,21/12/2020 13:09:02,
28.45813,0.1257664,-8.508467,32.96563,266.6184,1.017612E-06,79870,97833,21/12/2020 13:09:02,
27.4653,0.06870538,-8.36969,29.63917,291.1357,0,79870,97833,21/12/2020 13:09:03,
26.5015,0.01303804,-7.953608,29.25249,299.0938,0,79870,97833,21/12/2020 13:09:04,
26.33872,-0.005524516,-6.911648,29.05377,325.4758,9.76674E-07,79870,97833,21/12/2020 13:09:04,
27.29205,0.05381751,-6.401458,25.58908,2.941676,0,79870,97833,21/12/2020 13:09:04,
28.35316,0.1228738,-6.255755,23.06084,6.194743,9.279245E-07,79870,97833,21/12/2020 13:09:04,
29.18568,0.137051,-5.596153,21.27884,7.71891,0,79870,97833,21/12/2020 13:09:04,
30.03144,0.1681573,-4.960864,17.21196,8.546841,-4.469005E-07,79870,97833,21/12/2020 13:09:04,
30.84839,0.3234742,-4.329604,15.64192,8.628409,0,79870,97833,21/12/2020 13:09:05,
31.67731,0.4577456,-3.690221,15.31412,8.630684,4.426025E-07,79870,97833,21/12/2020 13:09:05,
32.36844,0.4372944,-2.920413,15.21681,7.905763,4.423975E-07,79870,97833,21/12/2020 13:09:05,
32.47166,0.3346834,-1.879677,14.0848,0.7707642,-4.401183E-07,79870,97833,21/12/2020 13:09:05,
32.45641,0.3358494,-0.8242944,13.62208,357.3232,0,79870,97833,21/12/2020 13:09:05,
32.39565,0.9119974,0.1058829,13.53167,355.4752,0,79870,97833,21/12/2020 13:09:05,
32.32843,1.711998,0.9030455,13.51008,354.6062,0,79870,97833,21/12/2020 13:09:05,
32.23591,2.367998,1.858576,13.50231,354.3902,0,79870,97833,21/12/2020 13:09:06,
32.1263,2.583998,2.973199,13.50015,354.38,0,79870,97833,21/12/2020 13:09:06,
32.00703,2.331998,4.086785,13.47227,352.4744,0,79870,97833,21/12/2020 13:09:06,
31.84606,1.803998,5.03276,13.39131,346.6568,0,79870,97833,21/12/2020 13:09:06,
31.5882,1.143998,5.786849,12.645,329.2735,4.374983E-07,79870,97833,21/12/2020 13:09:06,
30.97091,0.6461991,6.480061,11.05374,305.3044,0,79870,97833,21/12/2020 13:09:06,
30.116,0.5740857,7.063572,10.84716,303.0788,0,79870,97833,21/12/2020 13:09:06,
29.18905,0.3949177,7.702277,10.83324,302.3572,8.692654E-07,79870,97833,21/12/2020 13:09:07,
28.92521,1.155242,8.432609,10.83236,302.3548,-8.692627E-07,79870,97833,21/12/2020 13:09:07,
28.75008,1.915242,9.213203,10.83207,302.3546,1.303893E-06,79870,97833,21/12/2020 13:09:07,
28.48314,2.539243,10.13252,10.83196,302.3546,4.346308E-07,79870,97833,21/12/2020 13:09:07,
27.65292,2.731243,10.85482,10.83193,302.3546,4.346307E-07,79870,97833,21/12/2020 13:09:07,
26.7068,2.451243,11.4542,10.83194,302.3546,0,79870,97833,21/12/2020 13:09:07,
25.89584,1.899243,11.96795,10.83194,302.3546,-8.692615E-07,79870,97833,21/12/2020 13:09:07,
25.22004,1.219243,12.39608,10.83194,302.3046,0,79870,97833,21/12/2020 13:09:07,
24.5417,0.4904059,12.82017,10.76664,301.6971,8.690726E-07,79870,97833,21/12/2020 13:09:08,
23.63169,0.6327232,13.36788,10.70059,301.6208,4.344413E-07,79870,97833,21/12/2020 13:09:08,
23.12494,0.6322827,14.31158,10.69834,301.6208,8.688764E-07,79870,97833,21/12/2020 13:09:08,
22.88367,0.5166385,15.33556,10.69821,301.6208,0,79870,97833,21/12/2020 13:09:08,
22.64859,0.3909116,16.35242,10.69818,301.6208,8.688759E-07,79870,97833,21/12/2020 13:09:08,
22.43808,0.2250417,17.35415,10.65007,300.1843,0,79870,97833,21/12/2020 13:09:09,
22.09979,0.008419037,18.27613,10.38435,294.6147,4.339954E-07,79870,97833,21/12/2020 13:09:09,
21.1757,0.185306,18.7004,9.257245,283.1724,1.29756E-06,79870,97833,21/12/2020 13:09:09,
20.14519,0.3155251,18.86728,8.216999,276.8281,4.313147E-07,79870,97833,21/12/2020 13:09:09,
19.10965,0.4663873,18.98353,7.833946,275.4857,-1.077271E-06,79870,97833,21/12/2020 13:09:09,
18.12511,0.7498059,19.03979,7.720587,273.8246,-4.30792E-07,79870,97833,21/12/2020 13:09:09,
17.14741,0.9894472,19.07451,7.687258,271.2427,1.076895E-06,79870,97833,21/12/2020 13:09:11,
16.161,0.8018671,19.08237,7.580371,270.2975,-1.076626E-06,79870,97833,21/12/2020 13:09:11,
17.12982,0.8499705,19.49685,16.15093,33.0083,-8.888546E-07,79870,97833,21/12/2020 13:09:12,
18.15774,0.8262124,19.70615,16.23707,35.44879,-2.223107E-07,79870,97833,21/12/2020 13:09:12,
19.13285,0.578167,19.90746,16.25514,36.05099,-4.446623E-07,79870,97833,21/12/2020 13:09:12,
20.10666,0.3177633,20.07777,15.51084,37.24191,-4.430217E-07,79870,97833,21/12/2020 13:09:13,
21.15151,0.204127,20.2142,15.26635,37.28415,1.106254E-06,79870,97833,21/12/2020 13:09:13,
22.19441,0.1475135,20.34106,15.40364,43.19646,1.106982E-07,79870,97833,21/12/2020 13:09:13,
23.23533,0.1943865,20.21481,16.75996,57.61254,9.195139E-07,79870,97833,21/12/2020 13:09:13,
24.25784,0.211363,19.95796,17.13033,61.3407,1.11676E-07,79870,97833,21/12/2020 13:09:13,
25.27278,0.177278,20.07755,17.07456,63.02071,2.23285E-07,79870,97833,21/12/2020 13:09:13,
26.23073,0.1988459,20.54103,16.97929,65.70688,0,79870,97833,21/12/2020 13:09:13,
27.21078,0.1984465,20.95108,17.0403,69.08337,8.929763E-07,79870,97833,21/12/2020 13:09:14,
28.20215,0.2231363,21.32168,17.08053,69.71281,-1.339753E-06,79870,97833,21/12/2020 13:09:14,
29.1915,0.2428335,21.68532,17.08896,69.76595,-6.699068E-07,79870,97833,21/12/2020 13:09:14,
29.9348,0.9976729,21.95909,17.09047,69.76736,-1.786433E-06,79870,97833,21/12/2020 13:09:14,
30.68544,1.757673,22.23575,17.09096,69.76747,4.466093E-07,79870,97833,21/12/2020 13:09:14,
31.5862,2.321673,22.56775,17.17372,69.76748,-2.234041E-07,79870,97833,21/12/2020 13:09:14,
32.63709,2.433674,22.95508,17.21906,69.76747,-4.469176E-07,79870,97833,21/12/2020 13:09:14,
33.68777,2.097674,23.34301,17.25666,69.65866,2.235043E-07,79870,97833,21/12/2020 13:09:14,
34.5872,1.497674,23.67858,17.34148,69.37826,6.708224E-07,79870,97833,21/12/2020 13:09:15,
35.33586,0.777674,23.96057,17.36175,69.34824,8.945285E-07,79870,97833,21/12/2020 13:09:15,
36.31385,0.5298357,24.33271,17.43948,69.23692,0,79870,97833,21/12/2020 13:09:15,
37.28788,0.5030645,24.70836,17.47908,67.73521,2.237759E-07,79870,97833,21/12/2020 13:09:15,
38.23517,0.5140439,25.13656,16.7472,63.8971,6.686925E-07,79870,97833,21/12/2020 13:09:15,
39.17464,0.6318809,25.60883,15.69775,62.53786,-1.274849E-06,79870,97833,21/12/2020 13:09:16,
40.1041,0.7409474,26.09587,14.84031,62.31251,-9.936397E-07,79870,97833,21/12/2020 13:09:16,
41.0406,0.7826524,26.58479,14.32757,62.30619,-1.211624E-06,79870,97833,21/12/2020 13:09:16,
41.97506,0.8240678,27.07336,13.58228,62.19719,9.881296E-07,79870,97833,21/12/2020 13:09:16,
42.91412,0.8941956,27.567,12.99545,62.05764,4.928711E-07,79870,97833,21/12/2020 13:09:16,
43.90103,0.9608188,27.96518,12.71579,65.22593,-5.470249E-07,79870,97833,21/12/2020 13:09:17,
44.82465,0.9119282,27.5104,13.3339,91.14186,-8.774267E-07,79870,97833,21/12/2020 13:09:17,
45.31177,0.7840236,26.60447,14.13079,126.6608,0,79870,97833,21/12/2020 13:09:17,
45.22171,0.6537338,25.58299,14.37427,158.6505,0,79870,97833,21/12/2020 13:09:17,
44.72037,0.5628554,24.66475,14.39028,166.1691,0,79870,97833,21/12/2020 13:09:17,
44.16594,0.4641194,23.76692,14.37924,166.389,-4.406923E-07,79870,97833,21/12/2020 13:09:17,
43.60816,0.5987717,22.85667,14.37693,166.3951,-4.406877E-07,79870,97833,21/12/2020 13:09:17,
43.19141,1.478772,22.1738,14.37651,166.3953,4.406869E-07,79870,97833,21/12/2020 13:09:18,
42.77465,2.146772,21.49092,14.37638,166.3953,8.813732E-07,79870,97833,21/12/2020 13:09:18,
42.27455,2.566772,20.67147,14.37632,166.3953,8.813731E-07,79870,97833,21/12/2020 13:09:18,
41.6911,2.530772,19.71545,14.37632,166.3953,8.81373E-07,79870,97833,21/12/2020 13:09:18,
41.191,2.170773,18.896,14.37632,166.3953,4.406866E-07,79870,97833,21/12/2020 13:09:18,
40.6909,1.522773,18.07655,14.37631,166.3453,0,79870,97833,21/12/2020 13:09:18,
40.27522,0.7627728,17.39302,14.37631,166.2242,0,79870,97833,21/12/2020 13:09:18,
39.78741,0.3944094,16.56468,14.50244,165.2913,-4.409363E-07,79870,97833,21/12/2020 13:09:18,
39.27212,0.2863963,15.66894,14.51347,165.286,8.819166E-07,79870,97833,21/12/2020 13:09:19,
