PosX,PosY,PosZ,Orientation X,Orientation Y,Orientation Z,PlayerID,DateTime,
29.75157,0.19449,4.03769,15.4561,172.8919,8.858089E-07,34502,21/12/2020 0:02:37,
28.67147,0.1080935,2.152823,15.88704,222.1455,1.33152E-06,34502,21/12/2020 0:02:38,
26.57971,0.04747617,1.544654,15.93904,234.9821,0,34502,21/12/2020 0:02:38,
24.50778,-0.01731431,0.8166291,15.94087,236.0358,1.331877E-06,34502,21/12/2020 0:02:38,
22.34958,-0.01731431,0.6741064,15.94095,255.8665,2.663755E-06,34502,21/12/2020 0:02:39,
20.13335,-0.01731431,0.1580384,15.94094,257.3639,-8.879181E-07,34502,21/12/2020 0:02:39,
18.54642,-0.01731431,-0.1090604,16.95071,261.1855,5.355298E-06,34502,21/12/2020 0:02:39,
18.46743,-0.01731437,-0.1213085,15.68244,261.1855,8.867846E-07,34502,21/12/2020 0:02:40,
18.46609,-0.01731431,-0.09261484,17.02584,5.185465,8.929073E-07,34502,21/12/2020 0:02:40,
19.80554,-0.01731431,0.1556271,17.31074,88.7635,-8.9428E-07,34502,21/12/2020 0:02:40,
21.97208,-0.01731431,0.7177302,17.40977,98.52034,-1.565836E-06,34502,21/12/2020 0:02:40,
23.86974,-0.01731431,0.08898669,18.54014,106.0085,-1.125636E-06,34502,21/12/2020 0:02:41,
24.77486,-0.01116103,0.3549769,23.25602,59.45922,-1.393916E-06,34502,21/12/2020 0:02:41,
26.86819,0.08819056,0.3762928,24.5294,104.2523,-2.815417E-06,34502,21/12/2020 0:02:41,
29.0437,0.1975007,-0.2568603,23.58227,117.3144,-1.863145E-06,34502,21/12/2020 0:02:42,
29.71832,0.1876322,-2.324373,23.25093,177.1356,3.484659E-07,34502,21/12/2020 0:02:42,
29.29475,0.110782,-4.492775,24.16516,163.2591,9.357766E-07,34502,21/12/2020 0:02:42,
29.8263,0.1905587,-6.664325,24.49928,190.3221,-9.382471E-07,34502,21/12/2020 0:02:43,
28.52392,0.1749126,-7.443375,25.55197,269.4757,0,34502,21/12/2020 0:02:43,
28.52392,0.1749126,-7.443375,26.32093,269.4757,-9.525272E-07,34502,21/12/2020 0:02:43,
28.52392,0.1749126,-7.443375,26.39184,269.4757,-9.531115E-07,34502,21/12/2020 0:02:43,
28.33575,0.1671753,-7.4531,29.95276,257.4741,-2.956152E-06,34502,21/12/2020 0:02:44,
28.10585,0.1592109,-7.50455,31.21268,257.4741,0,34502,21/12/2020 0:02:44,
27.99263,0.1510438,-7.530233,31.28409,257.4741,2.997089E-06,34502,21/12/2020 0:02:44,
27.46677,0.1073714,-7.825029,31.30959,250.0015,1.9986E-06,34502,21/12/2020 0:02:45,
25.64127,0.002952158,-8.237157,31.11973,248.67,4.986477E-07,34502,21/12/2020 0:02:45,
25.31902,0.02629411,-8.363398,29.37911,248.67,-2.449451E-07,34502,21/12/2020 0:02:45,
25.34932,0.02493542,-8.440501,27.41745,140.67,1.923617E-06,34502,21/12/2020 0:02:46,
26.99583,0.0551548,-8.130426,27.2864,51.52576,-1.921343E-06,34502,21/12/2020 0:02:46,
27.10357,0.07709241,-8.030788,25.6792,42.8158,-9.47338E-07,34502,21/12/2020 0:02:46,
27.22346,0.08808279,-8.068357,25.71338,106.9637,-1.89522E-06,34502,21/12/2020 0:02:46,
28.61647,0.1822103,-7.589292,25.74927,62.02542,0,34502,21/12/2020 0:02:47,
30.58754,0.2460781,-6.48665,26.41261,46.66413,9.532832E-07,34502,21/12/2020 0:02:47,
31.35189,0.4320191,-4.373264,26.49534,17.27172,-9.539683E-07,34502,21/12/2020 0:02:47,
32.54023,0.3944234,-2.510944,26.651,38.89191,9.552655E-07,34502,21/12/2020 0:02:48,
33.66879,0.3560007,-0.5863441,26.55425,2.427905,9.54458E-07,34502,21/12/2020 0:02:48,
33.89198,0.2992584,1.510019,26.49955,50.7509,0,34502,21/12/2020 0:02:48,
35.72734,0.4784451,0.8009604,27.00305,145.1823,-1.916477E-06,34502,21/12/2020 0:02:49,
36.67632,0.6309634,-0.7373055,27.07165,148.3999,-1.917648E-06,34502,21/12/2020 0:02:49,
36.97711,0.641757,-0.4572804,27.84222,359.6199,0,34502,21/12/2020 0:02:49,
36.42621,0.5380121,1.553487,30.11719,344.361,0,34502,21/12/2020 0:02:49,
35.25794,0.5066141,3.389577,24.65758,298.1767,-1.40915E-06,34502,21/12/2020 0:02:50,
33.26867,0.3716367,4.228036,23.98966,330.0622,9.344964E-07,34502,21/12/2020 0:02:50,
32.81921,0.5840535,6.352268,23.08792,316.6999,9.281114E-07,34502,21/12/2020 0:02:50,
31.21904,0.675954,7.936175,15.98182,313.2365,-4.440497E-07,34502,21/12/2020 0:02:51,
29.57885,0.7297221,9.468505,15.17239,313.2047,0,34502,21/12/2020 0:02:51,
28.02426,0.371775,10.98478,15.14398,313.2047,8.8449E-07,34502,21/12/2020 0:02:51,
26.35936,0.2926216,12.51376,15.97131,311.9104,-4.440265E-07,34502,21/12/2020 0:02:52,
24.56147,2.272622,14.10323,16.45893,308.9506,4.451267E-07,34502,21/12/2020 0:02:52,
22.47036,1.828623,15.13543,16.83619,310.7672,8.920079E-07,34502,21/12/2020 0:02:52,
20.96851,0.2348449,16.42873,17.38815,310.76,-4.473288E-07,34502,21/12/2020 0:02:52,
20.0229,0.3110067,17.25081,17.43689,310.76,4.474481E-07,34502,21/12/2020 0:02:53,
18.70591,0.5248451,18.41006,17.48899,310.496,-4.475762E-07,34502,21/12/2020 0:02:53,
17.24099,0.7886151,18.43363,17.81091,271.314,0,34502,21/12/2020 0:02:53,
17.24079,0.8501223,19.64423,17.92423,307.8846,0,34502,21/12/2020 0:02:54,
17.24079,0.8424708,19.78691,19.55059,252.5697,-9.060083E-07,34502,21/12/2020 0:02:54,
17.24079,0.8696669,19.05873,20.40003,251.3026,3.643615E-06,34502,21/12/2020 0:02:54,
16.28125,2.357516,18.29536,20.42988,251.3018,1.822161E-06,34502,21/12/2020 0:02:55,
14.40643,2.211317,18.1491,20.43093,296.3019,-9.110867E-07,34502,21/12/2020 0:02:55,
14.39584,1.406009,18.65893,22.85857,296.3019,0,34502,21/12/2020 0:02:55,
